name,fish_group,visual_effect,user_id,rating,item_id
2x Red-crested Eartheater - Geophagus steindachneri - DNZ 5 cm,Cichlids,forms territories (when spawning),0,5,275
Star spot tetra - Pristella maxillaris,Tetra,swarm behaviour,0,10,42
Cobalt zebra cichlid bright blue - Pseudotropheus callainos,Cichlids,forms precincts,0,4,333
Dwarf loach armored catfish - Aspidoras pauciradiatus,Catfish,interesting behaviour,0,4,225
L183 White fringed Ancistrus - Ancistrus sp. - DNZ 5cm,Catfish,forms territories (when spawning),0,2,184
Scalar cobalt green mirror - Pterophyllum scalare,Cichlids,interesting body shape,0,8,302
Golden Phantom Tetra - Megalomphodus roseus,Tetra,swarm behaviour,0,8,126
2x Striped Snail Cichlid - Neolamprologus multifasciatus - DNZ pair,Cichlids,forms territories (when spawning),0,5,272
Emperor Cichlid Red Flush - Aulonocara hansbeanschi Red flush,Cichlids,forms territories (when spawning),0,3,357
"Blood Tetra ""Extra Red"" - Hyphessobrycon callistus",Tetra,swarm behaviour,0,8,31
Tucano Tetra - Tucanoichthys tucano,Tetra,especially colorful,0,5,113
L226 - Pink Tiger Pleco - Panaqolus changae - 5-6cm,Catfish,especially colorful,0,8,210
Redtail Crested Puffer - Carinotetraodon irrubesco,Pufferfish,interesting body shape,0,7,382
Reddish Lipstick Goby - Sicyopus rubicundus,Gobies,interesting behaviour,0,5,167
Charcoal Barb - Haludaria fasciata,Barbs,swarm behaviour,0,10,57
L201 - Orinoco Angelfish - Hypancistrus sp. 6cm,Catfish,especially colorful,0,6,229
Kaisertetra EU-NZ - Nematobrycon palmeri,Tetra,especially colorful,0,6,24
Espes harlequin rasbora - Trigonostigma (Rasbora) espei,Beardies,swarm behaviour,0,8,17
"Molly ""gold dust"" - Poecilia sphenops",Tooth carp,especially colorful,0,5,437
Gold-spotted Dwarf Rasboa - Boraras merah,Beardies,swarm behaviour,0,8,66
2 x Firemouth Cichlid - Thorichthys meeki - DNZ pair,Cichlids,forms precincts,0,1,304
2 x Butterfly Cichlid - Microgeophagus ramirezi - DNZ pair,Cichlids,especially colorful,0,7,261
Ocelot goby - Brachygobius xantomelas,Gobies,forms precincts,0,3,248
African Butterflyfish - Pantodon buchholzi,Bone Tongues,especially colorful,0,5,376
Western Rainbowfish - Melanotaenia splendida australis - DNZ,Spikefish,especially colorful,0,6,94
"Female fighting fish ""Koi"" - Betta splendens",Labyrinth fish,especially colorful,0,6,408
"Sailfin ""black"" - Poecilia velifera",Tooth carp,forms territories (when spawning),0,5,509
Star spot tetra EU NZ - Pristella maxillaris,Tetra,swarm behaviour,0,7,23
"Guppy male ""neon blue"" - Poecilia reticulata",Tooth carp,especially colorful,0,6,442
"2 x blue spotted perch ""Neon Blue"" - Aequidens pulcher - DNZ - 5cm - pair",Cichlids,especially colorful,0,8,284
L46 Zebra loricariid - Hypancistrus zebra,Catfish,especially colorful,0,5,237
"Neon tetra ""diamant"" EU-NZ - Paracheirodon innesi",Tetra,swarm behaviour,0,8,5
Fathead Disk Tetra - Metynnis hypsause,Tetra,swarm behaviour,0,10,116
"Zebrafish ""Veil"" - Brachydanio rerio",Beardies,swarm behaviour,0,9,45
L177 - Baryancistrus xanthellus - 6-8cm,Catfish,forms precincts,0,3,204
Betta splendens female poster DNZ - Betta splendens,Labyrinth fish,especially colorful,0,7,422
Bitterling barb - Puntius (Barbus) titteya - DNZ / strong colouring,Barbs,especially colorful,0,8,16
Female blue glass guppy - Poecilia reticulata,Tooth carp,especially colorful,0,8,507
"2x Marble Gourami ""Cosby"" - Trichogaster trichopterus - pair",Labyrinth fish,forms territories (when spawning),0,5,390
Red Neon XL - Paracheirodon axelrodi,Tetra,especially colorful,0,7,3
Tiger Mouthbrooder DNZ - Nimbrochromis livingstonii,Cichlids,interesting behaviour,0,5,257
Scalar gold XL - Pterophyllum scalare,Cichlids,especially colorful,0,6,307
Superb Rainbow Fish - Melanotaenia praecox - DNZ,Spikefish,especially colorful,0,7,60
Panda Platy - Xiphophorus maculatus,Tooth carp,especially colorful,0,7,516
Three-banded Tetra - Nannostomus trifasciatus,Tetra,especially colorful,0,6,110
"2 x Panduro's dwarf cichlid - Apistogramma panduro, DNZ - pair",Cichlids,especially colorful,0,5,349
"3x zebra cichlid ""blue-red"" - Pseudotropheus estherae - TRIO (2W/1M)",Cichlids,forms precincts,0,2,286
Black Phantom Tetra - Hyphessobrycon megalopterus,Tetra,swarm behaviour,0,8,29
L 190 Catfish - Panaque cf. nigrolineatus,Catfish,interesting body shape,0,6,220
2x five-striped cichlid - Neolamprologus tretocephalus - DNZ - pair,Cichlids,especially colorful,0,7,277
Glowlight Tetra DNZ - Hemigrammus erythrozonus,Tetra,swarm behaviour,0,7,26
Red-tailed Feather Tetra - Hemiodus gracilis,Tetra,swarm behaviour,0,10,7
Guinea fowl catfish - Synodontis angelicus 6cm,Catfish,especially colorful,0,7,181
"Male guppy ""Koi kohaku"" - Poecilia reticulata",Tooth carp,especially colorful,0,8,495
Reddish Dwarf Rasbora lg - Microrasbora rubescens,Beardies,swarm behaviour,0,7,108
Copper Tetra - Hasemania nana,Tetra,especially colorful,0,7,37
L66 King Tiger Pleco - Hypancistrus spec. - DNZ 6-7 cm,Catfish,especially colorful,0,6,157
"Endler Guppy ""Japan blue"" - Poecilia wingei - M",Tooth carp,especially colorful,0,6,511
Gold Tetra - Hemigrammus rodwayi,Tetra,swarm behaviour,0,9,118
Purplehead Barb - Pethia nigrofasciata DNZ,Barbs,especially colorful,0,8,114
"Parrot Platy ""Highfin"" - Xiphophorus variatus",Tooth carp,especially colorful,0,7,444
L114 - Leopard Cactus Catfish - Pseudacanthicus cf. leopardus - 4-6cm,Catfish,forms precincts,0,2,203
L243 Banded Orinoco Catfish - Ancistomus wernekei 10-12cm,Catfish,especially colorful,0,8,175
Red Fin Sucker - Pseudogastromyzon myersi red fin,Loaches,interesting body shape,0,6,222
Four-striped Slim Cichlid - Julidochromis regani DNZ,Cichlids,forms territories (when spawning),0,5,299
Dwarf armored catfish - Corydoras pygmeus,Catfish,swarm behaviour,0,9,144
Queen Arabesque Pleco - L260 - Hypancistrus sp. DNZ,Catfish,especially colorful,0,6,194
"Betta male ""super-delta xl"" - Betta splendens",Labyrinth fish,forms precincts,0,3,403
Kissing Gourami Gold - Helostoma temminckii,Labyrinth fish,especially colorful,0,6,415
Swordtail pineapple wagtail - Xiphophorus Helleri,Tooth carp,interesting body shape,0,8,485
"2x dwarf gourami ""Red"" - Colisa lalia - pair",Labyrinth fish,especially colorful,0,5,395
Fighting fish male poster lg - Betta splendens,Labyrinth fish,interesting body shape,0,8,398
"Swordtail ""Lyra"" - Xiphophorus Helleri",Tooth carp,especially colorful,0,8,486
Checkerboard Loach - Yasuhikotakia sidthmunki,Loaches,swarm behaviour,0,7,141
Male Fighting Fish - Betta splendens,Labyrinth fish,especially colorful,0,5,399
Cherry spotted tetra - Hyphessobrycon erythrostigma,Tetra,especially colorful,0,7,67
Spotted Armored Catfish - Corydoras punctatus,Catfish,swarm behaviour,0,10,250
Eye line armored catfish - Corydoras schwartzi,Catfish,swarm behaviour,0,8,168
Witch catfish 10-12 cm - Rineloricaria fallax,Catfish,forms precincts,0,1,188
Green Puffer Fish - Dichotomyctere (Tetraodon) nigroviridis,Pufferfish,interesting body shape,0,6,386
"Male betta ""Koi Poster"" - Betta splendens",Labyrinth fish,especially colorful,0,6,410
Hawaiian Platy - Xiphophorus maculatus,Tooth carp,especially colorful,0,6,510
Miniature Shark - Hexanematichthys (Arius) seemani,Catfish,especially colorful,0,7,193
Lantern Bearer - Hemigrammus ocellifer,Tetra,swarm behaviour,0,8,81
Slanting - Nannostomus unifasciata,Tetra,interesting behaviour,0,6,109
"Platy ""korall berliner"" - Xiphophorus maculatus",Tooth carp,especially colorful,0,8,515
Saddleback Mailed Catfish - Scleromystax barbatus - DNZ,Catfish,swarm behaviour,0,9,145
Red Devils - Hyphessobrycon piranga - DNZ,Tetra,swarm behaviour,0,8,92
Neon blue goby - Stiphodon atropurpureus,Gobies,especially colorful,0,5,152
Rainbow cichlid DNZ - Herotilapia multispinosa,Cichlids,forms territories (when spawning),0,4,346
Betta male crested xl,Labyrinth fish,especially colorful,0,6,429
"Female Guppy ""Blue"" - Poecilia reticulata",Tooth carp,especially colorful,0,6,519
"Platy ""bleeding heart"" - Xiphophorus maculatus",Tooth carp,especially colorful,0,5,457
White fin tetra - Hyphessobrycon bentosi - DNZ,Tetra,swarm behaviour,0,9,83
Golden Zebrafish - Brachydanio rerio,Beardies,swarm behaviour,0,7,103
L129 Colombian Zebra Catfish - Hypancistrus debilittera,Catfish,especially colorful,0,7,165
L038 - Banded dwarf shield catfish - Peckoltia spec.,Catfish,especially colorful,0,5,163
L316 - Jari's zebra catfish Hypancistrus sp. DNZ 4-6 cm,Catfish,especially colorful,0,7,199
2 x Tanganyika golden cichlids - Neolamprologus leleupi - DNZ pairs,Cichlids,forms precincts,0,3,310
Bitterling Barb - Barbus titteya,Barbs,especially colorful,0,6,74
Molly silver - Poecilia sphenops,Tooth carp,especially colorful,0,8,434
Molly color mix male - Poecilia sphenops,Tooth carp,especially colorful,0,6,477
Female german yellow guppy - Poecilia reticulata,Tooth carp,especially colorful,0,5,514
Odessa barb - Puntius padamya,Barbs,especially colorful,0,5,119
Scalar Koi Med - Pterophyllum scalare,Cichlids,forms territories (when spawning),0,4,329
Scalar red ghost - Pterophyllum scalare,Cichlids,interesting body shape,0,9,360
Synodontis polly white - 4-6cm,Catfish,especially colorful,0,6,278
Brush Platy 'Wagtail' - Xiphophorus maculatus,Tooth carp,especially colorful,0,7,513
Male Lemon Guppy - Poecilia reticulata,Tooth carp,especially colorful,0,8,436
2x azure cichlids - Sciaenochromis freyeri DNZ pairs,Cichlids,forms territories (when spawning),0,5,291
Discus turquoise DNZ - Symphysodon aequifasciatus,Cichlids,interesting body shape,0,7,271
3x brass mouthbrooder - Pseudocrenilabrus dispersus philander - TRIO (2W/1M) - DNZ 4 cm,Cichlids,forms territories (when spawning),0,3,322
Betta male superdelta Dumbo Ear lg - Betta splendens,Labyrinth fish,interesting body shape,0,8,418
"2x peacock cichlid ""red oscar"" - Astronotus ocellatus - pair",Cichlids,especially colorful,0,5,298
Oblique swimmers - Thayeria boehlkei,Tetra,swarm behaviour,0,8,36
Corydoras aeneus - DNZ,Catfish,swarm behaviour,0,10,139
Goldstreaked Armored Catfish - Corydoras schultzei,Catfish,swarm behaviour,0,9,253
"""Wagtail Red"" Swordtail - Xiphophorus Helleri",Tooth carp,especially colorful,0,6,453
Celebe's Sunray Fish - Marosatherina ladigesi,Spikefish,especially colorful,0,8,59
Red Chameleon Tetra - Hemigrammus coeruleus,Tetra,especially colorful,0,8,111
Discus color mix DNZ - Symphysodon aequifasciatus,Cichlids,especially colorful,0,5,287
2x snail cichlid gold - Lamprologus ocellatus - DNZ pair,Cichlids,forms territories (when spawning),0,4,280
Orange Seam Cichlid - Andinocara rivulatus,Cichlids,interesting behaviour,0,7,262
Female Betta - Betta splendens,Labyrinth fish,especially colorful,0,7,394
Shield catfish 5-6 cm - Hypostomus plecostomus,Catfish,forms precincts,0,4,150
2 x flag cichlid - Mesonauta festivus - DNZ pair,Cichlids,forms territories (when spawning),0,4,266
Fighting fish male koi galaxy poster - Betta splendens,Labyrinth fish,especially colorful,0,8,416
Moss Barb - Barbus tetrazona - DNZ,Barbs,especially colorful,0,6,38
Betta female crested betta - Betta splendens,Labyrinth fish,especially colorful,0,8,417
L181 Spotted Catfish - Ancistrus sp. - DNZ 4cm,Catfish,forms territories (when spawning),0,5,198
"2x Red Dwarf Cichlid - Apistogramma agassizii ""Red"" - DNZ pair",Cichlids,forms territories (when spawning),0,5,281
"Spotted armored catfish ""albino"" - Corydoras paleatus ""DNZ""",Catfish,swarm behaviour,0,7,146
2 x macropod blue - Macropodus opercularis - pair,Labyrinth fish,especially colorful,0,5,428
"Painted callous catfish ""albino"" - Hoplosternum thoracatum",Catfish,forms territories (when spawning),0,5,147
Peacock Cichlid albino - Astronotus ocellatus,Cichlids,interesting body shape,0,6,335
2x black and white slim cichlid - Julidochromis transcriptus DNZ ​​pair,Cichlids,forms territories (when spawning),0,2,311
Blue Peru Tetra - Knodus borki,Tetra,especially colorful,0,7,123
"Fighting fish male ""Blue"" xl",Labyrinth fish,especially colorful,0,6,402
Island Barb - Oliotius (Puntius) oligolepis,Barbs,swarm behaviour,0,8,96
Golden Ringed Goby - Brachygobius xanthozona,Gobies,forms precincts,0,4,143
Pinocchio witch catfish - Hemiodontichthys acipenserinus - 8-10cm,Catfish,especially colorful,0,6,239
"2x scalar ""mix"" - Pterophyllum scalare - DNZ",Cichlids,forms territories (when spawning),0,5,297
Redtail Rasbora - Rasbora borapetensis,Beardies,especially colorful,0,7,97
2x Gourami - Trichogaster leeri - pair,Labyrinth fish,forms territories (when spawning),0,3,431
Brown Puffer Fish - Tetraodon miurus,Pufferfish,interesting body shape,0,6,383
Filigree Rainbowfish - Iriatherina werneri,Spikefish,swarm behaviour,0,7,122
Miguelito Armored Catfish - Corydoras virginiae,Catfish,swarm behaviour,0,8,183
Orange neon goby - Stiphodon ornatus 3-4cm,Gobies,especially colorful,0,6,202
L 144 golden catfish - Ancistrus spec.,Catfish,interesting body shape,0,9,246
African butterfly cichlid DNZ - Anomalochromis thomasi,Cichlids,interesting behaviour,0,6,334
2 x Villavicencio dwarf cichlid - Apistogramma macmasteri - pair,Cichlids,especially colorful,0,8,324
Pea Puffer Fish - Carinotetraodon travancoricus,Pufferfish,especially colorful,0,5,384
"2 x butterfly cichlid ""gold"" XXL - Microgeophagus ramirezi - pair DNZ",Cichlids,especially colorful,1,2,358
"Guppy male ""Dumbo ear"" - Poecilia reticulata",Tooth carp,especially colorful,1,4,487
L204 Striped loricariid - Panaqolus albivermis - 10 cm,Catfish,forms precincts,1,8,170
"3x zebra cichlid ""blue-red"" - Pseudotropheus estherae - TRIO (2W/1M)",Cichlids,forms precincts,1,8,286
Callous Catfish - Megalechis thoracata (Hoplosternum thoracatum) 5cm,Catfish,forms territories (when spawning),1,4,242
2x Gourami - Trichogaster leeri - pair,Labyrinth fish,forms territories (when spawning),1,7,431
Endler guppy male red scarlett - Poecilia reticulata,Tooth carp,especially colorful,1,2,441
Blackwing Hatchetfish - Carnegiella marthae,Tetra,swarm behaviour,1,6,71
Red Piranha - Serrasalmus nattereri,Tetra,swarm behaviour,1,3,112
Napo armored catfish - Corydoras napoensis,Catfish,swarm behaviour,1,4,159
Charcoal Barb - Haludaria fasciata,Barbs,swarm behaviour,1,6,57
Congo Tetra med - Phenacogrammus interruptus,Tetra,especially colorful,1,2,117
Fighting fish male black samurai poster - Betta splendens,Labyrinth fish,interesting body shape,1,7,406
